"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764937010000,29,0,40
1764937011000,29,0,39
1764937012000,29,0,38.5
1764937013000,28,0,38
1764937014000,28,0,37.5
1764937015000,28,0,37
1764937016000,28,0,36.5
1764937017000,27,0,36
1764937018000,27,0,35.5
1764937019000,27,0,35
1764937020000,27,0,34.5
1764937021000,27,0,34
1764937022000,26.5,0,34
1764937023000,26,0,33
1764937024000,26,0,33
1764937025000,26,0,32.5
1764937026000,26,0,32
1764937027000,25.5,0,32
1764937028000,25,0,31
1764937029000,25,0,31
1764937030000,25,0,31
1764937031000,25,0,30.5
1764937032000,25,0,30
1764937033000,24.5,0,30
1764937034000,24,0,29
1764937035000,24,0,29
1764937036000,24,0,29
1764937037000,24,0,28.5
1764937038000,24,0,28
1764937039000,24,0,28
1764937040000,24,0,28
1764937041000,23,0,27
1764937042000,23,0,27
1764937043000,23,0,27
1764937044000,23,0,27
1764937045000,23,0,26
