"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936926000,9619,9552,9698.5
1764936927000,9573.5,9502.5,9657.5
1764936928000,9525.5,9451,9614
1764936929000,9475,9396.5,9568.5
1764936930000,9422,9340.5,9521
1764936931000,9367,9282,9470
1764936932000,9309.5,9220.5,9417.5
1764936933000,9250,9158,9362
1764936934000,9188,9093,9305
1764936935000,9124,9026,9245.5
1764936936000,9058,8957.5,9183.5
1764936937000,8990,8886,9120
1764936938000,8920,8812.5,9054
1764936939000,8848,8738,8986
1764936940000,8774,8661.5,8916.5
1764936941000,8698.5,8583.5,8844
1764936942000,8621.5,8504,8770.5
1764936943000,8543,8422.5,8695
1764936944000,8459.5,8339,8618
1764936945000,8379.5,8254.5,8539
1764936946000,8296,8169,8458.5
1764936947000,8210.5,8081.5,8376.5
1764936948000,8122,7993.5,8293
1764936949000,8036,7903.5,8207.5
1764936950000,7947.5,7812.5,8121.5
1764936951000,7850.5,7718,8034
1764936952000,7765.5,7627.5,7945
1764936953000,7668.5,7533.5,7854.5
1764936954000,7572,2987,7758.5
1764936955000,7485,0,7662.5
1764936956000,7385,0,7569.5
1764936957000,7284,0,7475
1764936958000,7194,0,7380
1764936959000,7089.5,0,7284
1764936960000,6991.5,0,7187
1764936961000,6895,0,7089.5
1764936962000,6800.5,0,6991.5
1764936963000,6693.5,0,6892.5
1764936964000,6593,0,6793.5
1764936965000,6495.5,0,6694
1764936966000,6397.5,0,6594
1764936967000,6291.5,0,6491.5
1764936968000,6193,0,6393.5
1764936969000,6092,0,6292.5
1764936970000,5988.5,0,6186.5
1764936971000,5887.5,0,6090.5
1764936972000,5789,0,5990
1764936973000,5686,0,5886.5
1764936974000,5585,0,5781
1764936975000,5485,0,5687.5
1764936976000,5385,0,5584.5
1764936977000,5285,0,5482
1764936978000,5186,0,5387
1764936979000,5087,0,5285
1764936980000,4988.5,0,5178
1764936981000,4890.5,0,5087
1764936982000,4793.5,0,4989
1764936983000,4697,0,4888.5
1764936984000,4601,0,4789
1764936985000,4506,0,4700
1764936986000,4411.5,0,4599.5
1764936987000,4318,0,4499.5
1764936988000,4225,0,4412.5
1764936989000,4133.5,0,4316.5
1764936990000,4042.5,0,4219
1764936991000,3952.5,0,4129.5
1764936992000,3863,0,4040.5
1764936993000,3774,0,3946.5
1764936994000,3687,0,3859
1764936995000,3600.5,0,3773
1764936996000,3515.5,0,3681.5
1764936997000,3431.5,0,3595.5
1764936998000,3348.5,0,3512.5
1764936999000,3266.5,0,3426.5
1764937000000,3186,0,3343.5
1764937001000,3106,0,3263.5
1764937002000,3027.5,0,3181
1764937003000,2950,0,3101.5
1764937004000,2873.5,0,3022.5
1764937005000,2798.5,0,2945.5
1764937006000,2725,0,2869.5
1764937007000,2652,0,2794.5
1764937008000,2581,0,2721
1764937009000,2510.5,0,2648
1764937010000,2441.5,0,2577.5
1764937011000,2374,0,2507.5
1764937012000,2307.5,0,2438
1764937013000,2242,0,2370.5
1764937014000,2178,0,2304
1764937015000,2115.5,0,2239
1764937016000,2054,0,2175
1764937017000,1994,0,2112.5
1764937018000,1934.5,0,2051
1764937019000,1876.5,0,1991
1764937020000,1820,0,1932
1764937021000,1764.5,0,1874
1764937022000,1710.5,0,1817.5
1764937023000,1657.5,0,1762.5
1764937024000,1606,0,1708.5
1764937025000,1555.5,0,1655
1764937026000,1505.5,0,1603.5
1764937027000,1457,0,1553.5
1764937028000,1410,0,1504
1764937029000,1364,0,1455.5
1764937030000,1319,0,1408.5
1764937031000,1275.5,0,1362.5
1764937032000,1233,0,1318
1764937033000,1192,0,1274
1764937034000,1151,0,1231.5
1764937035000,1111.5,0,1190
1764937036000,1073.5,0,1150
1764937037000,1036,0,1110.5
1764937038000,1000,0,1072
1764937039000,964.5,0,1035
1764937040000,930,0,999
1764937041000,897,0,963.5
1764937042000,864.5,0,929
1764937043000,833,0,896
1764937044000,802.5,0,863.5
1764937045000,773,0,832.5
