"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936947000,976868,0,25364
1764936948000,1020749.5,0,12285
1764936949000,1023023.5,0,0
1764936950000,964709.5,0,0
1764936951000,852758.5,0,0
1764936952000,999981,0,0
1764936953000,908380,0,11977
1764936954000,857251.5,0,0
1764936955000,840358.5,0,11756
1764936956000,856534.5,0,0
1764936957000,967951.5,0,0
1764936958000,716463.5,0,11154
1764936959000,791500,0,0
1764936960000,885656,0,0
1764936961000,851590,0,0
1764936962000,743453,0,10786
1764936963000,785267,0,20294
1764936964000,869366,0,6452
1764936965000,744231.5,0,0
1764936966000,717789,0,0
1764936967000,758866,0,10052
1764936968000,784233,0,0
1764936969000,540258,0,0
1764936970000,768497.5,0,0
1764936971000,746278,0,0
1764936972000,673623,0,0
1764936973000,736000.5,0,27582
1764936974000,728328,0,17634
1764936975000,711513.5,0,9097
1764936976000,686073.5,0,8083
1764936977000,673829,0,0
1764936978000,586584.5,0,0
1764936979000,651884,0,8186
1764936980000,628854,0,7818
1764936981000,606648.5,0,15092
1764936982000,632164.5,0,0
1764936983000,571616,0,0
1764936984000,562183.5,0,6877
1764936985000,559372.5,0,0
1764936986000,529191.5,0,7039
1764936987000,497438,0,20220
1764936988000,598031.5,0,0
1764936989000,518278.5,0,6613
1764936990000,496891,0,12462
1764936991000,517749,0,0
1764936992000,431506,0,0
1764936993000,467377.5,0,11168
1764936994000,448567,0,5511
1764936995000,509613,0,16532
1764936996000,475162.5,0,5658
1764936997000,445096,0,0
1764936998000,387192.5,0,4894
1764936999000,368057,0,5041
1764937000000,377092.5,0,5275
1764937001000,405829.5,0,0
1764937002000,396929,0,8788
1764937003000,373481.5,0,9170
1764937004000,340300.5,0,0
1764937005000,325509,0,0
1764937006000,330912,0,3983
1764937007000,315144.5,0,8009
1764937008000,322435.5,0,3703
1764937009000,313737.5,0,3939
1764937010000,303061,0,7627
1764937011000,257014,0,3777
1764937012000,281924.5,0,3645
1764937013000,282002.5,0,0
1764937014000,278886,0,3306
1764937015000,265424,0,0
1764937016000,263708,0,3453
1764937017000,262984.5,0,0
1764937018000,226752.5,0,2880
1764937019000,221378.5,0,2851
1764937020000,221056.5,0,0
1764937021000,215413.5,0,0
1764937022000,198744.5,0,2924
1764937023000,203947,0,2998
1764937024000,220622,0,5055
1764937025000,202633.5,0,0
1764937026000,194669.5,0,2190
1764937027000,168915,0,0
1764937028000,162749.5,0,0
1764937029000,159387,0,0
1764937030000,168019.5,0,2263
1764937031000,172899,0,0
1764937032000,148889,0,0
1764937033000,154235.5,0,0
1764937034000,147446,0,2102
1764937035000,120040.5,0,0
1764937036000,129585.5,0,0
1764937037000,122816,0,0
1764937038000,115083.5,0,0
1764937039000,122891.5,0,1778
1764937040000,112451,0,3189
1764937041000,114124.5,0,1337
1764937042000,106439.5,0,1454
1764937043000,101723,0,1440
1764937044000,105002.5,0,1264
1764937045000,92014.5,0,0
