"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936795427,undefined,49,undefined
1764936795441,22,undefined,undefined
1764936795923,undefined,undefined,27
1764936795926,22,undefined,undefined
1764936795932,undefined,52,undefined
1764936796425,undefined,undefined,27
1764936796429,22,undefined,undefined
1764936796435,undefined,52,undefined
1764936796929,undefined,undefined,27
1764936796935,22,undefined,undefined
1764936796940,undefined,52,undefined
1764936797432,undefined,undefined,27
1764936797438,22,undefined,undefined
1764936797443,undefined,52,undefined
1764936797935,undefined,undefined,27
1764936797943,22,undefined,undefined
1764936797948,undefined,52,undefined
1764936798418,undefined,undefined,27
1764936798426,22,undefined,undefined
1764936798431,undefined,52,undefined
1764936798922,undefined,undefined,27
1764936798932,22,undefined,undefined
1764936798936,undefined,52,undefined
1764936799424,undefined,undefined,27
1764936799435,22,undefined,undefined
1764936799439,undefined,52,undefined
1764936799928,undefined,undefined,28
1764936799941,22,undefined,undefined
1764936799944,undefined,52,undefined
1764936800430,undefined,undefined,28
1764936800442,22,undefined,undefined
1764936800447,undefined,52,undefined
1764936800932,undefined,52,undefined
1764936800935,undefined,undefined,28
1764936800948,22,undefined,undefined
1764936801431,22,undefined,undefined
1764936801434,undefined,52,undefined
1764936801436,undefined,undefined,28
1764936801935,22,undefined,undefined
1764936801939,undefined,52,undefined
1764936801940,undefined,undefined,28
1764936802422,undefined,undefined,28
1764936802436,22,undefined,undefined
1764936802441,undefined,52,undefined
1764936802926,undefined,undefined,28
1764936802943,22,undefined,undefined
1764936802946,undefined,52,undefined
1764936803428,undefined,undefined,28
1764936803445,22,undefined,undefined
1764936803449,undefined,52,undefined
1764936803933,undefined,undefined,29
1764936803935,undefined,52,undefined
1764936803949,22,undefined,undefined
1764936804432,22,undefined,undefined
1764936804435,undefined,undefined,29
1764936804437,undefined,52,undefined
1764936804937,22,undefined,undefined
1764936804939,undefined,undefined,29
1764936804943,undefined,52,undefined
1764936805440,22,undefined,29
1764936805446,undefined,52,undefined
1764936805944,23,undefined,undefined
1764936805945,undefined,undefined,29
1764936805953,undefined,52,undefined
1764936806427,undefined,undefined,29
1764936806435,undefined,52,undefined
1764936806445,23,undefined,undefined
1764936806932,undefined,undefined,29
1764936806941,undefined,52,undefined
1764936806949,23,undefined,undefined
1764936807433,undefined,undefined,29
1764936807442,undefined,52,undefined
1764936807451,23,undefined,undefined
1764936807937,23,undefined,undefined
1764936807938,undefined,undefined,30
1764936807947,undefined,52,undefined
1764936808440,undefined,undefined,30
1764936808441,23,undefined,undefined
1764936808449,undefined,52,undefined
1764936808944,undefined,undefined,30
1764936808945,23,undefined,undefined
1764936808956,undefined,52,undefined
1764936809437,undefined,52,undefined
1764936809446,undefined,undefined,30
1764936809448,23,undefined,undefined
1764936809930,undefined,undefined,30
1764936809942,undefined,52,undefined
1764936809953,23,undefined,undefined
1764936810431,undefined,undefined,30
1764936810444,undefined,52,undefined
1764936810455,23,undefined,undefined
1764936810934,undefined,undefined,30
1764936810941,23,undefined,undefined
1764936810948,undefined,52,undefined
1764936811436,undefined,undefined,30
1764936811444,23,undefined,undefined
1764936811451,undefined,52,undefined
1764936811940,undefined,undefined,31
1764936811949,23,undefined,undefined
1764936811956,undefined,52,undefined
1764936812439,undefined,52,undefined
1764936812442,undefined,undefined,31
1764936812450,23,undefined,undefined
1764936812944,undefined,52,undefined
1764936812946,undefined,undefined,31
1764936812956,23,undefined,undefined
1764936813438,23,undefined,undefined
1764936813447,undefined,52,undefined
1764936813448,undefined,undefined,31
1764936813933,undefined,undefined,31
1764936813944,23,undefined,undefined
1764936813951,undefined,52,undefined
1764936814435,undefined,undefined,31
1764936814446,23,undefined,undefined
1764936814454,undefined,52,undefined
1764936814939,undefined,undefined,32
1764936814952,23,undefined,undefined
1764936814959,undefined,52,undefined
1764936815442,undefined,undefined,32
1764936815443,undefined,52,undefined
1764936815454,23,undefined,undefined
1764936815947,undefined,52,32
1764936815960,23,undefined,undefined
1764936816442,23,undefined,undefined
1764936816449,undefined,52,32
1764936816948,23,undefined,undefined
1764936816954,undefined,52,32
1764936817436,undefined,undefined,32
1764936817450,23,undefined,undefined
1764936817456,undefined,52,undefined
1764936817940,undefined,undefined,32
1764936817956,23,undefined,undefined
1764936817961,undefined,52,undefined
1764936818443,undefined,36,33
1764936818459,23,undefined,undefined
1764936818947,undefined,undefined,33
1764936818949,undefined,36,undefined
1764936818964,23,undefined,undefined
1764936819446,23,undefined,undefined
1764936819449,undefined,undefined,33
1764936819452,undefined,23,undefined
1764936819951,23,undefined,undefined
1764936819954,undefined,undefined,33
1764936819958,undefined,23,undefined
1764936820436,undefined,undefined,32
1764936820453,23,undefined,undefined
1764936820461,undefined,13,undefined
1764936820940,undefined,undefined,33
1764936820958,24,undefined,undefined
1764936820966,undefined,13,undefined
1764936821442,undefined,undefined,33
1764936821449,undefined,5,undefined
1764936821460,24,undefined,undefined
1764936821946,undefined,undefined,33
1764936821955,undefined,5,undefined
1764936821965,24,undefined,undefined
1764936822448,undefined,undefined,33
1764936822458,undefined,0,undefined
1764936822467,24,undefined,undefined
1764936822952,24,undefined,undefined
1764936822953,undefined,undefined,33
1764936822963,undefined,0,undefined
1764936823455,24,undefined,33
1764936823466,undefined,0,undefined
1764936823952,undefined,0,undefined
1764936823960,24,undefined,33
1764936824441,undefined,undefined,34
1764936824454,undefined,0,undefined
1764936824463,24,undefined,undefined
1764936824946,undefined,undefined,34
1764936824958,undefined,0,undefined
1764936824969,24,undefined,undefined
1764936825448,undefined,undefined,34
1764936825450,24,undefined,undefined
1764936825463,undefined,0,undefined
1764936825952,undefined,undefined,34
1764936825957,24,undefined,undefined
1764936825966,undefined,0,undefined
1764936826455,undefined,undefined,34
1764936826459,24,undefined,undefined
1764936826470,undefined,0,undefined
1764936826952,undefined,0,undefined
1764936826959,undefined,undefined,34
1764936826965,24,undefined,undefined
1764936827456,undefined,0,undefined
1764936827461,undefined,undefined,35
1764936827467,24,undefined,undefined
1764936827958,undefined,0,undefined
1764936827966,undefined,undefined,35
1764936827973,24,undefined,undefined
1764936828448,undefined,undefined,35
1764936828455,24,undefined,undefined
1764936828462,undefined,0,undefined
1764936828953,undefined,undefined,35
1764936828962,24,undefined,undefined
1764936828964,undefined,0,undefined
1764936829454,undefined,undefined,35
1764936829464,24,undefined,undefined
1764936829469,undefined,0,undefined
1764936829959,undefined,undefined,35
1764936829970,24,undefined,undefined
1764936829971,undefined,0,undefined
1764936830460,undefined,undefined,36
1764936830473,24,undefined,undefined
1764936830476,undefined,0,undefined
1764936830959,undefined,0,undefined
1764936830965,undefined,undefined,36
1764936830979,25,undefined,undefined
1764936831461,25,undefined,undefined
1764936831463,undefined,0,undefined
1764936831465,undefined,undefined,36
1764936831966,undefined,0,undefined
1764936831967,25,undefined,undefined
1764936831970,undefined,undefined,36
1764936832452,undefined,undefined,36
1764936832470,25,0,undefined
1764936832954,undefined,undefined,36
1764936832973,undefined,0,undefined
1764936832975,25,undefined,undefined
1764936833459,undefined,undefined,37
1764936833478,25,0,undefined
1764936833960,undefined,0,undefined
1764936833961,undefined,undefined,37
1764936833963,25,undefined,undefined
1764936834465,undefined,0,37
1764936834466,25,undefined,undefined
1764936834967,undefined,0,undefined
1764936834968,undefined,undefined,37
1764936834970,25,undefined,undefined
1764936835471,undefined,0,undefined
1764936835472,undefined,undefined,37
1764936835474,25,undefined,undefined
1764936835974,undefined,undefined,37
1764936835975,undefined,0,undefined
1764936835977,25,undefined,undefined
1764936836457,undefined,undefined,38
1764936836478,undefined,0,undefined
1764936836484,25,undefined,undefined
1764936836958,undefined,undefined,38
1764936836981,undefined,0,undefined
1764936836984,25,undefined,undefined
1764936837461,undefined,undefined,38
1764936837464,undefined,0,undefined
1764936837467,25,undefined,undefined
1764936837963,undefined,undefined,38
1764936837966,undefined,0,undefined
1764936837970,25,undefined,undefined
